Bill of materials
--------------------------------------------------
Link, Material
_______________________________________

https://www.amazon.com/Breadboard-Jumper-Solderless-Breadboards-Tweezer/dp/B0BMFXPSVG/ref=sr_1_2_sspa?crid=2LUIN8A7UGXJP&dib=eyJ2IjoiMSJ9.AGqrRb490GgIDwzDnYkbxnt20y57RaYl5SLy5976Moj0JUedgKaij5Wxt4xy4E5QufKVEkf7ay6aepbeGy0Piepsibg3yPVZ1Vao-_gSKSUtikX3O9ABFx9FPq2bRrg_F27tzUOGpM0IPzmb3b1gi-M3eeFI2q7VklZw_6wDIDQ1vsOFyjJ0wB0AIuKqFfqPXbGub1JdAlgO-3fomGIw-DlNv2zhCjmY9GHpndJFuwoH_v4A3771nEzTR6PjPIUkY68MvMgRe3vbFAA8TX8NN_EjgwOS3Q20PdjBsmkqPcw.ct5LJW1tgp8cYMXbRPKiiWtOa9lR7gY5Gouu_2xIGbo&dib_tag=se&keywords=breadboard&qid=1768178439&s=electronics&sprefix=breadboard%2Celectronics%2C203&sr=1-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1  ,  Wires
______________________________________________________________________________________________________________________________________________


https://www.amazon.com/ELEGOO-Board-ATmega328P-ATMEGA16U2-Compliant/dp/B01EWOE0UU/ref=sr_1_3?crid=2A0EZ3L7KVV6E&dib=eyJ2IjoiMSJ9.MazmhFfn-DF8W5oyX_S-tKdK1Vw_ErfhallV_3kz1V45xi8sg2TwzIxOd7PE5JdOwteZkr17dFGQjJYOFVTNu0WfGgA71LaqEQVRgwdaIk1kaWFt2o619DWjNSHNlXecKOoWIXkzQYJuhu8001grsrFfvnP-HrAHXpSjSnfvSDOCNuj1CZn2kUccx6R8lT142_l5eArXCYSk-4LWxu8cuZ3Zac-svyRvv8jhcV5C6wkMur7rjWn6171LK6fGjHSsIy5U2YEyoqsLySrisBQKZpYU1kHo5qkKtBrsydapjtQ.dQ8p2zFT4XgCCqSejE1benda8G02D1p6lKa5KGEAr_k&dib_tag=se&keywords=arduino+uno&qid=1768178665&s=electronics&sprefix=arduino+uno%2Celectronics%2C196&sr=1-3  , Arduino Uno R3

________________________________________________________________________________________________________________________________________________________

https://www.amazon.com/MTDELE-HC-SR04-Ultrasonic-Compatible-Mounting/dp/B0G6ZDBTWR/ref=sr_1_8?crid=1D852ZQDXFIR3&dib=eyJ2IjoiMSJ9.iypku6ngIfU88Pm__KREcy1qaBzxJdojs0vXI42NDHZgkG1bbxgSGozBbnyy65goN2XQWvgbp61l0lGDUdxS5yLkQg5c4wefJ_oeF34DMGXytA3iqqdWo0Yu2VlamRWwpvpM3FLVyRiseIuFY_GBoYcRHQVX17am1ax229lPz4jaVAs4d-22t4gWiJZTVc7hwYeEEMSGke9yqDunETBxP9X8tQn2dsTvFjI8YRotA-tFiUKyI2dr3ylLunG85HeqC_8vGqSBb-k23U5xPrC1gCI20AyTJEliDtht-X8glR4.5TiyA4_ZuN984WRpn9QYaIL6KvuA4k7sB32sqAmuAEo&dib_tag=se&keywords=ultrasonic+sensor&qid=1775696917&s=electronics&sprefix=ultrasonic+senso%2Celectronics%2C269&sr=1-8 , Ultrasonic Sensor


________________________________________________________________________________________________________________________________________________________________
  
https://www.amazon.com/Gikfun-Terminals-Passive-Electronic-Arduino/dp/B01GJLE5BS/ref=sr_1_1_sspa?crid=C95DVQKQSF18&dib=eyJ2IjoiMSJ9.M4_Rpr6MoAGjrkE4n-rainRa3ARDTup7GcJUo0VMc32R1tMevIFVvPvmgCX2lMv_50uqCXz_Q8vxzkfRfHx2veNWVURsicPxB3yPjRBn85WAyEk8E194bSOMipCDCMDKTJhSTizeQaFMK_MePQCEjNlzt7EZchxuMvxSSojicAqpsiqjGFB-_P_U0JMX_me3GCCScfhzxusgKFm3W7EKLvttD0FbOGOsh4LxVGBhMAGgDOy5s79WAiF6pd5pVCLg77cw8BQNkWaoS9KwAFwZmabXdnIQCkibyJu4d3XckUo.1ZQ5B6XB2o5pIspUNVx8iRE8MK6FqSZBW2bEc3LHaEg&dib_tag=se&keywords=passive+buzzer&qid=1775696994&s=electronics&sprefix=passive+buzze%2Celectronics%2C249&sr=1-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1  ,Passive buzzer

_________________________________________________________________________________________________________________________________________________________________

https://www.amazon.com/Kitchasy-Unbreakable-Blocking-Lightweight-Eyeglasses/dp/B0DBHHJ31V/ref=sr_1_27?dib=eyJ2IjoiMSJ9.pXyqGlby_xnLJCjGW2fRvZbD7xPy2mdPWIa2gn6Jgs5iAmD9GEIolmSQun8ZbaLft1AAq8qpM0OHGEm4f8hfaRt_cZ3lbhzuAOXiuzNXIb2RhyyWDLRfGh0sUzzFG6mOUVqfMizprqVQSIOm6j1q4_vvsSBQHQ2cQdrVRPp4PnxlO-CbpsjYCS3MSZq-Nxtbvz2pmjkI0NzYbz4jnV_p2ty30-s9_Y59s7Dx4oe1cOpMPkuYcxZsPFgWrDvAgj8lLKuwdTQnGdkHwkPIvyU269Jqm4IW0y__jz_MckZHTs8.hLfETL1ibPAQ2c9vvrr_6ZkrbLndrcgkhOTxs-l4kWw&dib_tag=se&keywords=glasses%2Breading&qid=1775697102&sr=8-27&th=1  , Glasses
